"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-05",97.69785,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-06",97.29977,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-07",96.97797,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-08",96.73866,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-09",96.57893,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-10",96.53442,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-11",96.68316,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2008-12",97.07565,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-01",97.70613,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-02",98.51286,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-03",99.35973,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-04",100.1694,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-05",100.8811,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-06",101.4882,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-07",102.0003,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-08",102.4048,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-09",102.6826,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-10",102.8227,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-11",102.8489,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2009-12",102.7829,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-01",102.6446,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-02",102.4652,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-03",102.2764,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-04",102.0887,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-05",101.9,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-06",101.7036,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-07",101.4927,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-08",101.2784,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-09",101.0778,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-10",100.9214,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-11",100.838,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2010-12",100.8216,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-01",100.8389,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-02",100.8178,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-03",100.7093,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-04",100.5179,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-05",100.2547,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-06",99.94382,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-07",99.61504,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-08",99.27899,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-09",98.96187,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-10",98.68668,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-11",98.48441,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2011-12",98.3932,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2012-01",98.41383,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2012-02",98.51215,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2012-03",98.63365,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2012-04",98.74795,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2012-05",98.82915,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2012-06",98.87394,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2012-07",98.88805,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2012-08",98.90054,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2012-09",98.92895,
"KOR","CLI","AMPLITUD","LTRENDIDX","M","2012-10",98.96936,
